id,filename,region,visual_theme,category,duration_sec,candidate_tier,priority_review,visual_note
V0001,DSCF5649_高品質 1080p HD.mp4,安芸,ガラス加工,交流・体験,11.011,,False,
V0002,DSCF5651_高品質 1080p HD.mp4,安芸,ガラス加工,工場全景,10.01,,False,
V0003,DSCF5655_高品質 1080p HD.mp4,安芸,ガラス加工,手仕事,9.009,A,True,発光する素材を台上で成形。冒頭の視覚フック候補
V0004,DSCF5657_高品質 1080p HD.mp4,安芸,ガラス加工,手仕事・機械,9.009,,False,
V0005,DSCF5662_高品質 1080p HD.mp4,安芸,ガラス加工,人物・手仕事,8.008,,False,
V0006,DSCF5663_高品質 1080p HD.mp4,安芸,ガラス加工,交流・体験,8.008,,False,
V0007,DSCF5664_高品質 1080p HD.mp4,安芸,ガラス加工,人物・交流・体験,8.008,,False,
V0008,DSCF5665_高品質 1080p HD.mp4,安芸,ガラス加工,交流・体験,8.008,,False,
V0009,DSCF5669_高品質 1080p HD.mp4,安芸,ガラス加工,機械・手仕事,8.008,,False,
V0010,DSCF5670_高品質 1080p HD.mp4,安芸,ガラス加工,手仕事,23.023,A,False,加熱素材の持ち出しから成形まで。工程をつなぐ候補
V0011,DSCF5671_高品質 1080p HD.mp4,安芸,ガラス加工,手仕事,11.011,A,False,発光素材と道具の接触が明瞭。手仕事の寄り
V0012,DSCF5675_高品質 1080p HD.mp4,安芸,ガラス加工,手仕事・機械,16.016,A,False,素材の形状変化と機械への投入。加工の瞬間
V0013,DSCF5677_高品質 1080p HD.mp4,安芸,ガラス加工,人物・手仕事,17.017,,False,
V0014,DSCF5699_高品質 1080p HD.mp4,安芸,ガラス加工,手仕事,13.013,,False,
V0015,DSCF5701_高品質 1080p HD.mp4,安芸,ガラス加工,機械・手仕事,19.019,A,False,炉の光と素材の出し入れ。工場らしい光・動作
V0016,DSCF5702_高品質 1080p HD.mp4,安芸,ガラス加工,工場全景,6.006,,False,
V0017,DSCF5707_高品質 1080p HD.mp4,安芸,ガラス加工,工場全景,7.007,,False,
V0018,DSCF5709_高品質 1080p HD.mp4,安芸,ガラス加工,機械・素材加工,7.007,A,False,粒状素材の搬送。反復する動きの候補
V0019,DSCF5730_高品質 1080p HD.mp4,安芸,ガラス加工,機械・素材加工,48.048,A,False,流れる素材の寄り。環境音・連続作業音は要試聴
V0020,DSCF5744_高品質 1080p HD.mp4,安芸,装飾・工芸体験,交流・体験,4.004,,False,
V0021,DSCF5746_高品質 1080p HD.mp4,安芸,装飾・工芸体験,人物・交流・体験,8.008,,False,
